5755	10000
0	2	1.0
0	22	1.0
0	23	2.0
0	62	1.0
0	154	1.0
0	155	1.0
0	7250	2.0
1	0	1.0
1	2	1.0
1	6	1.0
1	8	1.0
1	11	1.0
1	12	1.0
1	21	2.0
1	53	1.0
1	62	1.0
1	119	1.0
1	151	1.0
1	152	1.0
1	156	1.0
1	309	1.0
1	5210	1.0
1	6239	2.0
1	7914	1.0
2	0	2.0
2	1	1.0
2	2	1.0
2	3	1.0
2	4	1.0
2	5	1.0
2	6	1.0
2	8	1.0
2	10	1.0
2	11	1.0
2	12	1.0
2	16	2.0
2	26	1.0
2	32	1.0
2	33	1.0
2	49	1.0
2	54	1.0
2	66	1.0
2	95	1.0
2	157	1.0
2	292	1.0
2	924	1.0
2	1007	2.0
2	5116	1.0
2	9162	1.0
2	9487	1.0
3	0	2.0
3	1	1.0
3	2	1.0
3	3	1.0
3	4	1.0
3	5	1.0
3	6	1.0
3	7	1.0
3	9	1.0
3	10	1.0
3	11	1.0
3	14	1.0
3	20	1.0
3	23	1.0
3	46	1.0
3	47	1.0
3	48	1.0
3	68	1.0
3	87	1.0
3	110	1.0
3	120	1.0
3	274	1.0
3	484	1.0
3	1033	1.0
3	2409	1.0
3	5483	1.0
3	5654	1.0
3	6134	1.0
3	8238	1.0
4	0	1.0
4	1	1.0
4	2	1.0
4	3	1.0
4	4	1.0
4	5	1.0
4	6	1.0
4	10	1.0
4	13	1.0
4	16	2.0
4	23	1.0
4	24	1.0
4	32	1.0
4	33	1.0
4	47	1.0
4	49	1.0
4	66	1.0
4	87	1.0
4	120	1.0
4	292	1.0
4	924	1.0
4	1007	2.0
4	1033	1.0
4	5483	1.0
4	5654	1.0
4	6134	1.0
4	8238	1.0
5	0	1.0
5	1	1.0
5	2	1.0
5	4	1.0
5	7	1.0
5	8	1.0
5	9	1.0
5	11	1.0
5	12	1.0
5	13	1.0
5	14	1.0
5	21	1.0
5	28	1.0
5	29	1.0
5	38	1.0
5	48	1.0
5	51	1.0
5	60	1.0
5	73	1.0
5	105	1.0
5	106	1.0
5	274	1.0
5	484	1.0
5	3406	1.0
5	8128	1.0
5	8616	1.0
5	9029	1.0
6	0	2.0
6	1	1.0
6	2	1.0
6	3	1.0
6	5	1.0
6	6	1.0
6	10	1.0
6	11	1.0
6	15	1.0
6	16	1.0
6	25	1.0
6	50	1.0
6	51	1.0
6	71	1.0
6	81	1.0
6	83	1.0
6	86	1.0
6	102	1.0
6	121	1.0
6	1660	1.0
6	2014	1.0
6	4133	1.0
6	4349	1.0
6	4350	1.0
6	4928	1.0
6	9156	1.0
7	1	1.0
7	2	1.0
7	3	1.0
7	4	1.0
7	5	1.0
7	6	1.0
7	7	1.0
7	9	1.0
7	13	2.0
7	14	1.0
7	21	1.0
7	24	1.0
7	29	1.0
7	48	1.0
7	51	1.0
7	60	1.0
7	73	1.0
7	83	1.0
7	86	1.0
7	102	1.0
7	274	1.0
7	484	1.0
7	1660	1.0
7	3406	1.0
7	4133	1.0
7	4349	1.0
7	4350	1.0
7	4928	1.0
7	8128	1.0
7	8616	1.0
8	0	1.0
8	1	1.0
8	2	1.0
8	3	1.0
8	4	1.0
8	5	1.0
8	6	1.0
8	10	1.0
8	16	2.0
8	32	1.0
8	33	1.0
8	41	1.0
8	49	1.0
8	51	1.0
8	66	1.0
8	83	1.0
8	86	1.0
8	102	1.0
8	104	1.0
8	292	1.0
8	924	1.0
8	1007	2.0
8	1660	1.0
8	4133	1.0
8	4349	1.0
8	4350	1.0
8	4928	1.0
9	0	1.0
9	1	1.0
9	2	1.0
9	4	1.0
9	7	1.0
9	9	1.0
9	11	1.0
9	14	1.0
9	18	1.0
